block	trial	Vstim	Astim	match	C/I	resp	result	RT	fb	V-file	A-file

LR

1	90	1	2	0	C	1	1	915	1	Ⴜ	cut_ei.wav
1	91	4	3	2	I	2	0	1278	0	Ⴊ	cut_r.wav
1	92	3	4	2	I	1	0	774	1	Ⴢ	cut_n.wav
1	93	4	4	2	I	1	0	653	1	Ⴊ	cut_n.wav
1	94	3	3	2	I	1	0	1148	1	Ⴢ	cut_r.wav
1	95	1	1	1	C	2	1	961	1	Ⴜ	cut_s.wav
1	96	2	2	1	C	2	1	674	1	Ⴞ	cut_ei.wav
1	97	4	3	2	I	2	0	700	0	Ⴊ	cut_r.wav
1	98	2	1	0	C	1	1	793	1	Ⴞ	cut_s.wav
1	99	3	3	2	I	2	0	783	0	Ⴢ	cut_r.wav
1	100	1	1	1	C	1	0	590	0	Ⴜ	cut_s.wav
1	101	4	4	2	I	1	0	674	1	Ⴊ	cut_n.wav
1	102	2	2	1	C	2	1	810	1	Ⴞ	cut_ei.wav
1	103	3	4	2	I	1	0	691	0	Ⴢ	cut_n.wav
1	104	1	2	0	C	1	1	742	1	Ⴜ	cut_ei.wav
1	105	4	3	2	I	1	0	838	1	Ⴊ	cut_r.wav
1	106	2	2	1	C	2	1	598	1	Ⴞ	cut_ei.wav
1	107	3	3	2	I	2	0	875	0	Ⴢ	cut_r.wav
1	108	1	2	0	C	2	0	686	0	Ⴜ	cut_ei.wav
1	109	3	4	2	I	1	0	992	0	Ⴢ	cut_n.wav
1	110	4	4	2	I	1	0	818	0	Ⴊ	cut_n.wav
1	111	2	1	0	C	1	1	799	1	Ⴞ	cut_s.wav
1	112	1	1	1	C	1	0	599	0	Ⴜ	cut_s.wav
1	113	4	4	2	I	1	0	530	0	Ⴊ	cut_n.wav
1	114	2	2	1	C	2	1	627	1	Ⴞ	cut_ei.wav
1	115	1	1	1	C	1	0	863	0	Ⴜ	cut_s.wav
1	116	3	3	2	I	1	0	711	0	Ⴢ	cut_r.wav
1	117	4	3	2	I	1	0	593	1	Ⴊ	cut_r.wav
1	118	3	4	2	I	2	0	763	1	Ⴢ	cut_n.wav
1	119	1	2	0	C	1	1	760	1	Ⴜ	cut_ei.wav
1	120	2	1	0	C	1	1	848	1	Ⴞ	cut_s.wav
1	121	3	4	2	I	1	0	578	0	Ⴢ	cut_n.wav
1	122	4	4	2	I	1	0	617	1	Ⴊ	cut_n.wav
1	123	1	1	1	C	1	0	745	0	Ⴜ	cut_s.wav
1	124	2	1	0	C	1	1	763	1	Ⴞ	cut_s.wav
1	125	1	2	0	C	1	1	871	1	Ⴜ	cut_ei.wav
1	126	2	2	1	C	2	1	781	1	Ⴞ	cut_ei.wav
1	127	4	3	2	I	1	0	805	1	Ⴊ	cut_r.wav
1	128	3	3	2	I	2	0	889	0	Ⴢ	cut_r.wav
1	129	1	1	1	C	2	1	913	1	Ⴜ	cut_s.wav
1	130	3	4	2	I	1	0	681	1	Ⴢ	cut_n.wav
1	131	2	2	1	C	2	1	597	1	Ⴞ	cut_ei.wav
1	132	4	3	2	I	1	0	740	0	Ⴊ	cut_r.wav
1	133	1	2	0	C	1	1	811	1	Ⴜ	cut_ei.wav
1	134	2	1	0	C	1	1	924	1	Ⴞ	cut_s.wav
1	135	3	3	2	I	2	0	1107	0	Ⴢ	cut_r.wav
1	136	4	4	2	I	1	0	659	0	Ⴊ	cut_n.wav
1	137	1	2	0	C	1	1	625	1	Ⴜ	cut_ei.wav
1	138	2	1	0	C	2	0	527	0	Ⴞ	cut_s.wav
1	139	3	3	2	I	1	0	501	1	Ⴢ	cut_r.wav
1	140	4	4	2	I	1	0	909	1	Ⴊ	cut_n.wav
1	141	2	2	1	C	2	1	616	1	Ⴞ	cut_ei.wav
1	142	1	1	1	C	2	1	765	1	Ⴜ	cut_s.wav
1	143	3	4	2	I	1	0	845	1	Ⴢ	cut_n.wav
1	144	4	3	2	I	2	0	721	0	Ⴊ	cut_r.wav
1	145	1	2	0	C	1	1	1157	1	Ⴜ	cut_ei.wav
1	146	3	4	2	I	1	0	631	1	Ⴢ	cut_n.wav
1	147	2	2	1	C	2	1	627	1	Ⴞ	cut_ei.wav
1	148	4	3	2	I	2	0	1511	1	Ⴊ	cut_r.wav
1	149	2	1	0	C	1	1	747	1	Ⴞ	cut_s.wav
1	150	4	4	2	I	2	0	1323	1	Ⴊ	cut_n.wav
1	151	1	1	1	C	1	0	796	0	Ⴜ	cut_s.wav
1	152	3	3	2	I	1	0	733	0	Ⴢ	cut_r.wav
1	153	4	4	2	I	2	0	718	1	Ⴊ	cut_n.wav
1	154	3	4	2	I	1	0	486	1	Ⴢ	cut_n.wav
1	155	1	2	0	C	2	0	677	0	Ⴜ	cut_ei.wav
1	156	2	1	0	C	2	0	1008	0	Ⴞ	cut_s.wav
1	157	1	1	1	C	1	0	580	0	Ⴜ	cut_s.wav
1	158	3	3	2	I	1	0	696	0	Ⴢ	cut_r.wav
1	159	2	2	1	C	2	1	434	1	Ⴞ	cut_ei.wav
1	160	4	3	2	I	2	0	497	1	Ⴊ	cut_r.wav
1	161	2	1	0	C	1	1	616	1	Ⴞ	cut_s.wav
1	162	1	1	1	C	2	1	821	1	Ⴜ	cut_s.wav
